fare_id,route_id,origin_id,destination_id,contains_id
61,,12TH,LAFY,
49,,12TH,ORIN,
39,,12TH,ROCK,
39,,12TH,WOAK,
69,,12TH,EMBR,
69,,12TH,MONT,
69,,12TH,POWL,
69,,12TH,CIVC,
72,,12TH,16TH,
74,,12TH,24TH,
79,,12TH,GLEN,
82,,12TH,BALB,
84,,12TH,DALY,
159,,12TH,OAKL,
87,,LAKE,SSAN,
93,,LAKE,SBRN,
185,,LAKE,SFIA,
99,,LAKE,MLBR,
85,,LAKE,WDUB,
58,,LAKE,RICH,
51,,LAKE,DELN,
45,,LAKE,PLZA,
39,,LAKE,NBRK,
39,,LAKE,DBRK,
39,,LAKE,ASHB,
39,,LAKE,MCAR,
39,,LAKE,19TH,
39,,LAKE,12TH,
115,,LAKE,LAKE,
39,,LAKE,FTVL,
39,,LAKE,COLS,
50,,LAKE,SANL,
57,,LAKE,BAYF,
66,,LAKE,HAYW,
72,,LAKE,SHAY,
82,,LAKE,UCTY,
88,,LAKE,FRMT,
66,,LAKE,CAST,
88,,LAKE,DUBL,
95,,LAKE,PITT,
85,,LAKE,NCON,
84,,LAKE,COLM,
81,,LAKE,CONC,
73,,LAKE,PHIL,
70,,LAKE,WCRK,
61,,LAKE,LAFY,
49,,LAKE,ORIN,
39,,LAKE,ROCK,
39,,LAKE,WOAK,
69,,LAKE,EMBR,
69,,LAKE,MONT,
69,,LAKE,POWL,
69,,LAKE,CIVC,
72,,LAKE,16TH,
74,,LAKE,24TH,
79,,LAKE,GLEN,
82,,LAKE,BALB,
84,,LAKE,DALY,
159,,LAKE,OAKL,
93,,FTVL,SSAN,
98,,FTVL,SBRN,
190,,FTVL,SFIA,
105,,FTVL,MLBR,
80,,FTVL,WDUB,
64,,FTVL,RICH,
60,,FTVL,DELN,
55,,FTVL,PLZA,
48,,FTVL,NBRK,
46,,FTVL,DBRK,
43,,FTVL,ASHB,
39,,FTVL,MCAR,
39,,FTVL,19TH,
39,,FTVL,12TH,
39,,FTVL,LAKE,
115,,FTVL,FTVL,
39,,FTVL,COLS,
39,,FTVL,SANL,
48,,FTVL,BAYF,
57,,FTVL,HAYW,
67,,FTVL,SHAY,
76,,FTVL,UCTY,
83,,FTVL,FRMT,
57,,FTVL,CAST,
83,,FTVL,DUBL,
98,,FTVL,PITT,
88,,FTVL,NCON,
89,,FTVL,COLM,
84,,FTVL,CONC,
76,,FTVL,PHIL,
73,,FTVL,WCRK,
66,,FTVL,LAFY,
55,,FTVL,ORIN,
39,,FTVL,ROCK,
39,,FTVL,WOAK,
77,,FTVL,EMBR,
77,,FTVL,MONT,
77,,FTVL,POWL,
77,,FTVL,CIVC,
81,,FTVL,16TH,
83,,FTVL,24TH,
86,,FTVL,GLEN,
87,,FTVL,BALB,
90,,FTVL,DALY,
159,,FTVL,OAKL,
97,,COLS,SSAN,
102,,COLS,SBRN,
194,,COLS,SFIA,
109,,COLS,MLBR,
76,,COLS,WDUB,
68,,COLS,RICH,
64,,COLS,DELN,
61,,COLS,PLZA,
55,,COLS,NBRK,
52,,COLS,DBRK,
49,,COLS,ASHB,
45,,COLS,MCAR,
39,,COLS,19TH,
39,,COLS,12TH,
39,,COLS,LAKE,
39,,COLS,FTVL,
115,,COLS,COLS,
39,,COLS,SANL,
39,,COLS,BAYF,
51,,COLS,HAYW,
60,,COLS,SHAY,
73,,COLS,UCTY,
79,,COLS,FRMT,
51,,COLS,CAST,
79,,COLS,DUBL,
102,,COLS,PITT,
92,,COLS,NCON,
93,,COLS,COLM,
88,,COLS,CONC,
80,,COLS,PHIL,
77,,COLS,WCRK,
69,,COLS,LAFY,
62,,COLS,ORIN,
46,,COLS,ROCK,
43,,COLS,WOAK,
84,,COLS,EMBR,
84,,COLS,MONT,
84,,COLS,POWL,
84,,COLS,CIVC,
86,,COLS,16TH,
87,,COLS,24TH,
89,,COLS,GLEN,
91,,COLS,BALB,
94,,COLS,DALY,
120,,COLS,OAKL,
103,,SANL,SSAN,
108,,SANL,SBRN,
200,,SANL,SFIA,
